Column Name,MIN,MAX,MEAN,MEDIAN,NA'S,,,
Carb Volume,5.04,5.7,5.370,5.347,10,,,
Fill Ounces,23.63,24.32,23.97,2397,34,,,
PC Volume,.079,.478,.277,.271,39,,,
Carb Pressure,57,79.4,68.19,68.2,27,,,
Carb Temp,128.60,154,141.09,140.80,26,,,
PSC,0,.27,.08,.08,33,,,
PSC Fill,0,.62,.20,.18,23,,,
PSC CO2,0,.24,.06,.04,39,,,
Mnf Flow,-100.20,229.40,24.59,65.20,2,,,
Carb Pressure 1,105.60,140.20,122.59,123.20,32,,,
Fill Pressure,34.60,60.40,47.92,46.40,22,,,
Hyd Pressure 1,-.8,58,12.44,11.40,11,,,
Hyd Pressure 2,0,59.40,20.96,28.60,11,,,
Hyd Pressure 3,-1.20,50,20.46,27.60,15,,,
Hyd Pressure 4,52,142,96.29,96,30,,,
Filler Level,55.8,161.2,109.25,118.40,20,,,
Filler Speed,998,4030,3687.20,3982.00,57,,,
Temperature,63.6,76.2,65.97,65.60,14,,,
Usage Cont,12.08,25.9,20.99,21.79,5,,,
Carb Flow,26,5104,2468.35,3028,2,,,
Density ,.24,1.92,1.17,.98,1,,,
MFR,31.4,868.6,704.05,724,212,,,
Balling ,-.17,4.012,2.20,1.65,1,,,
Pressure Vacuum,-6.6,-3.6,-5.22,-5.40,0,,,
PH,7.88,9.36,8.55,8.54,4,,,
Oxygen Filler ,.0024,.4,.047,.03,12,,,
Bowl Setpoint,70,130,109.34,120,2,,,
Pressure Setpoint ,44,52,47.62,46,12,,,
Air Pressurer,140.8,148.2,142.83,142.6,0,,,
Alch Rel,5.28,8.62,6.90,6.56,9,,,
Carb Rel,4.96,6.06,5.44,5.40,10,,,
Balling Lvl,0,3.66,2.05,1.48,1,,,
,,,,,,,,
